,p,d,q,P,D,Q,AIC,BIC
0,0.0,0.0,0.0,0.0,0.0,0.0,-624.9990660685337,-579.2294996866328
0,0.0,0.0,0.0,0.0,0.0,1.0,-720.4960793068459,-670.9123823931201
0,0.0,0.0,0.0,0.0,0.0,2.0,-732.7538171794884,-679.3559897339375
0,0.0,0.0,0.0,0.0,0.0,3.0,-758.2175882051563,-701.0056302277803
0,0.0,0.0,0.0,0.0,1.0,0.0,-690.8243452862533,-645.3081819856436
0,0.0,0.0,0.0,0.0,1.0,1.0,-708.7302614275173,-659.4210845185235
0,0.0,0.0,0.0,0.0,1.0,2.0,-712.0868444046712,-658.9846538872931
0,0.0,0.0,0.0,0.0,1.0,3.0,-710.2725318355526,-653.3773277097905
0,0.0,0.0,0.0,0.0,2.0,0.0,-402.2249589864713,-356.96766550891107
0,0.0,0.0,0.0,0.0,2.0,1.0,-640.1337550820726,-591.1050204813824
0,0.0,0.0,0.0,0.0,2.0,2.0,-653.3158163907987,-600.5156406669785
0,0.0,0.0,0.0,0.0,2.0,3.0,-653.4124468398593,-596.840829992909
0,0.0,0.0,0.0,1.0,0.0,0.0,-757.9599033030174,-708.3762063892916
0,0.0,0.0,0.0,1.0,0.0,1.0,-757.6606173538692,-704.2627899083183
0,0.0,0.0,0.0,1.0,0.0,2.0,-755.6655390965686,-698.4535811191927
0,0.0,0.0,0.0,1.0,0.0,3.0,-768.3308566150617,-707.3047681058607
0,0.0,0.0,0.0,1.0,1.0,0.0,-703.7504106561705,-654.4412337471766
0,0.0,0.0,0.0,1.0,1.0,1.0,-720.1949681238002,-667.0927776064221
0,0.0,0.0,0.0,1.0,1.0,2.0,-716.729164442456,-659.8339603166938
0,0.0,0.0,0.0,1.0,1.0,3.0,-708.811982322781,-648.1237645886347
0,0.0,0.0,0.0,1.0,2.0,0.0,-503.05475072875197,-454.02601612806177
0,0.0,0.0,0.0,1.0,2.0,1.0,-650.0638963436231,-597.2637206198029
0,0.0,0.0,0.0,1.0,2.0,2.0,-636.4259306884461,-579.8543138414959
0,0.0,0.0,0.0,1.0,2.0,3.0,-652.8226007290049,-592.4795427589246
0,0.0,0.0,1.0,0.0,0.0,0.0,-795.4011308494607,-745.8174339357349
0,0.0,0.0,1.0,0.0,0.0,1.0,-841.9787009831725,-788.5808735376216
0,0.0,0.0,1.0,0.0,0.0,2.0,-847.4656822840125,-790.2537243066365
0,0.0,0.0,1.0,0.0,0.0,3.0,-867.60310051215,-806.577012002949
0,0.0,0.0,1.0,0.0,1.0,0.0,-773.3304775639562,-724.0213006549623
0,0.0,0.0,1.0,0.0,1.0,1.0,-823.5166810921305,-770.4144905747524
0,0.0,0.0,1.0,0.0,1.0,2.0,-824.2500175081506,-767.3548133823884
0,0.0,0.0,1.0,0.0,1.0,3.0,-822.26923613094,-761.5810183967938
0,0.0,0.0,1.0,0.0,2.0,0.0,-457.1751050605457,-408.1463704598555
0,0.0,0.0,1.0,0.0,2.0,1.0,-720.6738494521613,-667.8736737283411
0,0.0,0.0,1.0,0.0,2.0,2.0,-761.3310866645007,-704.7594698175506
0,0.0,0.0,1.0,0.0,2.0,3.0,-759.9556349422089,-699.6125769721286
0,0.0,0.0,1.0,1.0,0.0,0.0,-861.8614667122877,-808.4636392667368
0,0.0,0.0,1.0,1.0,0.0,1.0,-868.6088204819821,-811.3968625046061
0,0.0,0.0,1.0,1.0,0.0,2.0,-866.7102860982335,-805.6841975890325
0,0.0,0.0,1.0,1.0,0.0,3.0,-874.0269879234698,-809.1867688824437
0,0.0,0.0,1.0,1.0,1.0,0.0,-806.3343765478171,-753.232186030439
0,0.0,0.0,1.0,1.0,1.0,1.0,-825.0030536786169,-768.1078495528548
0,0.0,0.0,1.0,1.0,1.0,2.0,-822.257947026792,-761.5697292926457
0,0.0,0.0,1.0,1.0,1.0,3.0,-820.2826369754424,-755.801405632912
0,0.0,0.0,1.0,1.0,2.0,0.0,-572.9086239464054,-520.1084482225853
0,0.0,0.0,1.0,1.0,2.0,1.0,-748.3804350224837,-691.8088181755334
0,0.0,0.0,1.0,1.0,2.0,2.0,-753.8290190903153,-693.4859611202351
